Unnamed: 0,IMMAGINE,DOMANDA,RISPOSTA 1,V/F,RISPOSTA 2,V/F.1,RISPOSTA 3,V/F.2,TEMA
497,,Quando viene utilizzato di massima l'ormeggio su di un ancora o a ruota?,in presenza di condimeteo particolarmente avverse.,F,negli specchi d'acqua caratterizzati da un adeguato spazio libero intorno.,V,con una quantità di catena tale da farla risultare a picco.,F,MANOVRA E CONDOTTA
498,,"Quale tipologia di ancoraggio è opportuno adottare, di massima, nei fiumi?",utilizzando due ancore le cui catene siano disposte parallelamente tra loro e affondate in direzione perpendicolare alla corrente.,F,"utilizzando due ancore le cui catene creino tra loro un angolo di 180°, affondate nella direzione della corrente.",V,utilizzando una sola ancora la cui catena abbia una lunghezza pari a due volte il fondale.,F,MANOVRA E CONDOTTA
500,,"L'ancora a ombrello, con le marre richiudibile, è generalmente è utilizzata:","da piccole unità, tra cui i battelli gonfiabili.",V,da unità di grandi dimensioni.,F,da unità a vela.,F,MANOVRA E CONDOTTA
501,,Quali sono le principali caratteristiche del grappino?,"si tratta di un'ancora di piccole dimensioni a otto marre fisse con artigli, utilizzata per ancoraggi di unità navali di grandi dimensioni.",F,"si tratta di un'ancora di piccole dimensioni a quattro marre mobili, utilizzata per manovre di affiancamento ad altre unità.",F,"si tratta di un'ancora di piccole dimensioni a quattro marre fisse, utilizzata solo per ancoraggi di piccole unità.",V,MANOVRA E CONDOTTA
502,,Quali sono le principali caratteristiche dell'ancora Bruce?,è un'ancora costruita in lega di carbonio dotata di due marre divergenti e semi-mobili.,F,è un'ancora costruita in un'unica marra mobile a forma di martello.,F,"è un'ancora costituita da un monoblocco, dotata di una sola marra a tre punte e priva di altre parti articolate.",V,MANOVRA E CONDOTTA
503,,Le catene dell'ancora utilizzate a bordo delle imbarcazioni sono costituite da maglie aventi forma:,circolare.,F,ellittica.,V,iperbolica.,F,MANOVRA E CONDOTTA
504,,"Cosa si intende per ""barbotin""?",l'argano utilizzato per agevolare l'issaggio dei pesi a bordo dell'unità navale.,F,"la ruota sagomata con impronta della catena, posta alla base del verricello, che evita lo slittamento delle maglie di catena durante le operazioni di manovra dell'ancora.",V,un verricello utilizzato per tenere le ancore in tensione durante la manovra di ancoraggio.,F,MANOVRA E CONDOTTA
505,,Quale vantaggio offre l'ancoraggio mediante due ancore afforcate?,ridurre il campo di giro dell'unità che così assume una configurazione ellittica a differenza dell'ancoraggio a ruota.,V,velocizzare la manovra di ancoraggio dell'unità rispetto all'ancoraggio con una sola ancora.,F,garantire l'ancoraggio di un'unità anche su fondali particolarmente rocciosi.,F,MANOVRA E CONDOTTA
507,,Quali sono le fasi principali che caratterizzano una manovra di ancoraggio?,si dirige sul posto di ancoraggio a velocità moderata e con la poppa al vento. Si fila la catena dell'ancora dando un leggero colpo a marcia avanti.,F,si dirige sul posto di ancoraggio a velocità di crociera e con la prora sottovento. Si fila l'ancora completamente una volta che l'unità è ferma.,F,"si dirige sul posto di ancoraggio con il solo abbrivio, mantenendo la prua al vento o alla corrente. Si dà fondo all'ancora, dando contemporaneamente un leggero colpo a marcia indietro.",V,MANOVRA E CONDOTTA
508,,Quando è opportuno utilizzare la grippia e il grippiale prima di dare fondo all'ancora?,"se si è costretti ad ancorare su un fondale roccioso o cosparso di relitti, ove l'ancora può restare incastrata.",V,"se si è costretti ad ancorare su un fondo fangoso, ove l'ancora può penetrare molto.",F,se si è costretti ad ancorare su un fondo sabbioso o argilloso ove l'ancora può arare.,F,MANOVRA E CONDOTTA
509,,"Com'è costituita una ""grippia""?","da una catena formata da maglie ellittiche, di cui un'estremità è vincolata al maniglione dell'ancora e l'altra a un parabordo.",F,"da una cima piuttosto sottile, di cui un'estremità è vincolata al diamante dell'ancora mentre l'altra è attestata ad un gavitello.",V,"da una catena formata da maglie circolari, di cui un'estremità è vincolata al maniglione dell'ancora e l'altra a un golfare posto a proravia dell'unità navale.",F,MANOVRA E CONDOTTA
510,,Quali accorgimenti devono essere adottati per controllare la corretta tenuta dell'ancora?,è opportuno effettuare delle ispezioni subacquee a intervalli di tempo regolare.,F,"è opportuno effettuare dei rilevamenti successivi, mediante di punti cospicui della costa, oppure dei punti nave successivi.",V,scandagliare il fondale a prora e a poppa rispettivamente all'alba e al tramonto.,F,MANOVRA E CONDOTTA
511,,I bracci delle ancore sono denominati:,uncini.,F,bracci.,F,marre.,V,MANOVRA E CONDOTTA
512,,"Quando un'ancora fa testa, significa che:",ha fatto presa sul fondo.,V,si è incattivita.,F,si presenta rovesciata sul fondale.,F,MANOVRA E CONDOTTA
514,,"Riguardo alla tenuta di un ancoraggio, si può dire che:",il calumo è bene che sia lungo sempre 10 metri.,F,è sempre meglio scegliere un fondale roccioso.,F,"l'ancora deve rimanere orizzontale sul fondo, anche se la barca fa forza sul calumo.",V,MANOVRA E CONDOTTA
515,,"La parte inferiore, al centro delle marre, di un'ancora è denominata:",unghia.,F,scalmo.,F,diamante.,V,MANOVRA E CONDOTTA
516,,Il termine calumo indica:,che abbiamo finito di calare un’ancora.,F,la profondità della zona ove si vuole dar fondo all’ancora.,F,la parte di catena che viene a trovarsi fuori bordo.,V,MANOVRA E CONDOTTA
517,,"Secondo una buona regola marinara, qual è il peso ideale di un'ancora da utilizzare per un'unità di 10 metri?",tra 21 e 25 Kg.,F,tra 10 e 14 Kg.,F,tra 15 e 20 Kg.,V,MANOVRA E CONDOTTA
518,,Un'unità afforcata è quell'unità che:,non riesce a spedare le ancore.,F,ha dato fondo a 2 ancore con calumi aperti a 180 gradi circa.,F,ha dato fondo a 2 ancore con calumi aperti a 45 gradi circa.,V,MANOVRA E CONDOTTA
519,,Nell'ancoraggio alla ruota cosa non è da fare?,dare un calumo adatto alle condizioni meteo.,F,prendere dei rilevamenti di un paio di punti della costa.,F,dar fondo anche da poppa ad un'ancora supplementare.,V,MANOVRA E CONDOTTA
521,,"Se un'ancora non tiene, si dice che:",sta arando.,V,fa testa.,F,sta agguantando.,F,MANOVRA E CONDOTTA
522,,Com'è denominata la parte dell'ancora che fa presa sul fondo?,marra.,V,diamante.,F,fuso.,F,MANOVRA E CONDOTTA
523,,"La ""grippia"" è una cima che si lega:",al fuso per regolare l'ancoraggio.,F,al diamante dell'ancora per facilitarne il recupero.,V,all'anello dell'ancora per evitare che l'ancora ari.,F,MANOVRA E CONDOTTA
524,,"Per stare alla fonda con mare calmo su un fondale di 16 metri, quanta cima bisogna filare?",almeno 38 metri.,F,almeno 40 metri.,F,almeno 48 metri.,V,MANOVRA E CONDOTTA
525,,"Il ""ferro"" a grappino è:",un gancio per le vele.,F,un ancorotto per piccole imbarcazioni.,V,un tipo di ancora di emergenza.,F,MANOVRA E CONDOTTA
526,,"Per stare alla fonda con mare calmo su un fondale di 9 metri, quanta cima bisogna filare?",almeno 21 metri.,F,almeno 15 metri.,F,almeno 27 metri.,V,MANOVRA E CONDOTTA
528,,"Per stare alla fonda con mare calmo su un fondale di 5 metri, quanta cima bisogna filare?",almeno 12 metri.,F,almeno 15 metri.,V,almeno 11 metri.,F,MANOVRA E CONDOTTA
529,,"Quando un'ancora fa testa, significa che:",ha fatto presa sul fondo.,V,si è staccata dalla catena.,F,non si riesce a salpare.,F,MANOVRA E CONDOTTA
530,,"Riguardo alla tenuta di un ancoraggio, si può dire che:",il calumo è bene che sia lungo al massimo due volte il fondale.,F,"se il fondo è in pendenza, l'ancora deve essere tirata verso il fondale più profondo.",F,il calumo viene aumentato da 3 a 5 volte il fondale in funzioni delle condizioni meteomarine.,V,MANOVRA E CONDOTTA
531,,"La parte inferiore, al centro delle marre, di un'ancora è denominata:",patta.,F,ceppo.,F,diamante.,V,MANOVRA E CONDOTTA
532,,Il termine calumo indica:,che abbiamo finito di calare un’ancora.,F,la profondità della zona ove si vuole dar fondo all’ancora.,F,la lunghezza di cima e/o catena filati per dar fondo all’ancora.,V,MANOVRA E CONDOTTA
533,,Ancorare alla ruota significa:,il giro di 360 gradi intorno all’ancora per rendere efficace il grippiale.,F,il giro di 360 gradi effettuato intorno all’ancora prima di aver dato fondo.,F,la libertà di rotazione di 360 gradi dell’imbarcazione alla fonda.,V,MANOVRA E CONDOTTA
535,,L’ancoraggio utilizzando una sola ancora filata di prora è denominato:,incattivito.,F,alla ruota.,V,appennellato.,F,MANOVRA E CONDOTTA
536,,Di un'ancora si dice che speda se:,ha fatto presa sul fondo.,F,non tiene la presa sul fondo.,V,è sospesa sotto la prua.,F,MANOVRA E CONDOTTA
537,,Le cosiddette ancore appennellate si hanno quando:,"per una migliore tenuta in condizioni critiche, al diamante dell'ancora principale viene fissata una seconda ancora, detta ""pennello"", con una catena di 4-6 metri.",V,si dà fondo a 2 ancore con calumi aperti a 180 gradi circa.,F,si dà fondo a 2 ancore con calumi aperti a 45 gradi circa.,F,MANOVRA E CONDOTTA
538,,"Con riferimento all'utilizzo dell'ancora in funzione del fondale, è possibile affermare che:",lunghezza del cavo-catena deve essere sempre superiore a 6 volte il fondale.,F,l'ancora Danforth è ottima su fondali sabbiosi-fangosi.,V,l'ancora Danforth è consigliata sui fondali rocciosi.,F,MANOVRA E CONDOTTA
539,,"Con riferimento ai vari tipi di ancore, è possibile affermare che:","la Bruce è la tipica ancora delle navi, passante lo scafo attraverso l’occhio di cubia.",F,la Danforth è adatta allo scoglio.,F,la CQR e la Delta sono tipi di ancora per tutti i fondali.,V,MANOVRA E CONDOTTA
540,,"L'ancoraggio in una baia di più unità a murata, è:",sconsigliato perché si è esposti al moto ondoso.,V,consigliato con mare molto mosso.,F,consigliato solo tra barche a motore.,F,MANOVRA E CONDOTTA
542,,La procedura comunemente utilizzata per un coretto ancoraggio è:,"dopo aver filato una quantità di cavo-cima pari almeno 3 volte il fondale, si spegne il motore.",F,"dopo aver filato un'adeguata quantità di calumo, si inizia a indietreggiare leggermente, continuando a filare il cavo-cima, al fine di stendere il calumo opportuno e far fare testa all'ancora.",V,"dopo aver filato una quantità di cavo-cima pari alla profondità del fondale, si indietreggia velocemente.",F,MANOVRA E CONDOTTA
543,,La procedura comunemente utilizzata per un coretto ancoraggio è:,"dopo aver ingranato la retromarcia, si inizia a calare l'ancora.",F,"dopo aver disposto la prua dell'unità al vento, esaurito l'abbrivio, si cala l'ancora.",V,"dopo aver filato una quantità adeguata di calumo, si dispone l'unità con prua al vento.",F,MANOVRA E CONDOTTA
544,16-27.png,"Figura 22 - Nella situazione illustrata di unità alla fonda, dove è più opportuno calare l'ancora?",nel punto A.,F,nel punto B.,F,nel punto C.,V,MANOVRA E CONDOTTA
545,16-27.png,Figura 23 - Qual è la posizione corretta per l'ancoraggio nella rada affollata riportata in figura?,"quella della barca A, perché più esterna alle altre unità.",F,"quella della barca B, perché ha spazio per la ruota.",V,"quella della barca C, perché è la più lontana dalle altre unità.",F,MANOVRA E CONDOTTA
546,,"In caso di ancoraggio con vento forte, è consigliabile:",iniziare ad ingranare la retromarcia prima di calare l'ancora.,F,calare con prudenza e lentamente l'ancora.,F,"filare velocemente una quantità di catena opportuna, allentando il barbotin del verricello salpancora.",V,MANOVRA E CONDOTTA
547,,"In caso di vento forte, dovendo dare fondo all'ancora per poi ormeggiarsi di poppa alla banchina, è opportuno:",dare fondo all'ancora leggermente sopravento rispetto al posto barca che si vuole occupare.,V,dare fondo all'ancora leggermente sottovento rispetto al posto barca che si vuole occupare.,F,dare fondo in asse rispetto al posto barca che si vuole occupare.,F,MANOVRA E CONDOTTA
549,,L'ancoraggio in baia di più unità a murata è:,sconsigliato perché si è esposti al moto ondoso.,V,consigliato solo tra barche a vela.,F,consigliato solo tra barche a motore.,F,MANOVRA E CONDOTTA
550,,"In tema di ancore, quale affermazione è corretta?",la Bruce è adatta alla Posidonia.,F,la CQR è particolarmente adatta allo scoglio.,F,"le ancore a tenuta dinamica, ad esempio Mantus e Ultra, sono adatte a tutti i fondali.",V,MANOVRA E CONDOTTA
551,,"In ancoraggio, quale è il calumo, cioè la lunghezza di cavo o catena, minimo da dare rispetto alla profondità del fondale?",1 volte il fondale.,F,6 volte il fondale.,F,3 volte il fondale.,V,MANOVRA E CONDOTTA
552,,Per salpare l'ancora:,si accende il motore e con la marcia non ingranata e si attiva il salpancore.,F,si dà un leggero colpo di marcia avanti per togliere tensione alla catena.,V,si avanza a motore fino al punto in cui è stata calata l'ancora e poi si inizio a recuperare catena.,F,MANOVRA E CONDOTTA
553,,Le caratteristiche dell'ancora Rocna sono:,"un'unica marra fissa, a forma di lama concava, dotata di un roll-bar che assicura che non si posi ribaltata sul fondale.",V,quattro marre mobili per essere utilizzata nelle manovre di affiancamento ad altre unità navali.,F,un'unica marra snodata con una forma ad aratro e lama convessa.,F,MANOVRA E CONDOTTA
554,16-27.png,"Figura 24 - Mi accingo ad ancorare e osservo la situazione rappresentata in figura, ne deduco:",la probabile rotazione a Nord delle unità alla fonda.,F,l'assenza di corrente.,F,"la presenza di una corrente sostenuta, di cui devo tener conto in manovra di ancoraggio.",V,MANOVRA E CONDOTTA
556,16-27.png,"Figura 24 - Mi accingo ad ancorare e osservo la situazione rappresentata in figura, ne deduco.","la rotazione a Est delle unità alla fonda, qualora il vento cessasse.",F,"la rotazione verso Sud delle unità alla fonda, qualora il vento cessasse.",F,"la rotazione verso Ovest delle unità alla fonda, qualora il vento cessasse.",V,MANOVRA E CONDOTTA
557,,"Com'è composto un ""corpo morto""?","da un blocco di cemento posato sul fondo marino, a cui viene fissato il maniglione dell'ancora dell'unità.",F,"un blocco di cemento, posato sul fondo marino, a cui è fissato un anello ove viene agganciata una catena che presenta all'altra estremità un gavitello galleggiante in superficie.",V,dalla parte inutilizzata della catena a bordo dell'unità navale a cui è attestato un maniglione dell'ancora.,F,MANOVRA E CONDOTTA
558,,La manovra di avvicinamento a una boa d'ormeggio si effettua:,"facendo procedere l'unità navale a lento moto verso la boa, mantenendo la poppa al vento o alla corrente.",F,"facendo procedere l'unità navale a lento moto verso la boa, mantenendo la prora al vento o alla corrente.",V,"facendo procedere l'unità navale alla velocità di crociera verso la boa, mantenendo la poppa al vento o alla corrente.",F,MANOVRA E CONDOTTA
559,,"Un'unità si dice attraccata, quando:",risulta assicurata alla banchina mediante i cavi d'ormeggio.,V,ha filato un'ancora galleggiante.,F,"è ancorata mediante due ancore, a distanza di sicurezza dalla banchina.",F,MANOVRA E CONDOTTA
560,,"Quale funzione svolgono principalmente i cavi di ormeggio denominati ""spring""?",immobilizzare l'unità dai movimenti in senso longitudinale.,V,garantire un'adeguata immersione media dell'unità navale.,F,garantire un'adeguata altezza di bordo libero.,F,MANOVRA E CONDOTTA
561,,"Quale funzione svolgono principalmente i cavi di ormeggio denominati ""traversini""?",garantire un'adeguata altezza di bordo libero.,F,non far scostare l'unità navale dalla banchina o da altra imbarcazione affiancata.,V,mantenere costante l'assetto dell'unità navale.,F,MANOVRA E CONDOTTA
563,,"Nell'ormeggio con la poppa in banchina, si dispongono le cime di poppa in maniera incrociata:","in presenza di risacca, al fine di evitare che la poppa possa muoversi lateralmente.",V,per mantenere ferma la prua dell'unità.,F,per mantenere costante l'assetto dell'unità.,F,MANOVRA E CONDOTTA
564,,"Il ""doppino"" è una cima di ormeggio:",fatta ruotare attorno alla bitta in banchina per fissare successivamente i due capi alla bitta di bordo.,V,costituita da una coppia di cavi utilizzati per il rimorchio.,F,sono le cime di poppa disposte incrociate.,F,MANOVRA E CONDOTTA
565,,Quale condizione è necessaria affinchè un'unità possa decidere di ormeggiarsi in sicurezza a due boe?,che le due boe siano ubicate una a proravia e l'altra a poppavia dell'unità navale.,V,quando le due boe sono disposte trasversalmente all'unità.,F,quando le due boe sono disposte entrambe a proravia dell'unità.,F,MANOVRA E CONDOTTA
566,16-27.png,"Figura 25 - In figura a fianco è indicata un'unità all'ormeggio ""all'inglese"", come sono denominati i cavi di ormeggio indicati dalle frecce?",calumo.,F,mascone.,F,spring.,V,MANOVRA E CONDOTTA
567,16-27.png,"Figura 26 - Con riferimento al disegno a fianco, con quale tipologia di cavi l'unità è ormeggiata?",spring di poppa e spring di prua.,F,traversino di poppa e traversino di prua.,V,doppini.,F,MANOVRA E CONDOTTA
568,16-27.png,Figura 26 - L'unità raffigurata può ritenersi correttamente ormeggiata?,"si, perché i due traversini la tengono accostata alla banchina.",F,"no, perché senza uno ""spring"" di prua e uno ""spring"" di poppa può muoversi lungo l'asse longitudinale.",V,"no, perché ha bisogno della ""grippia"".",F,MANOVRA E CONDOTTA
570,,"Lo ""spring"" è:",nome alternativo delle cime di ormeggio.,F,un cavo opzionale che può essere messo per sicurezza.,F,"il cavo d'ormeggio che da prua o dalla poppa dell'imbarcazione corre sulla banchina verso il centro barca, essenziale nell'ormeggio ""all'inglese"".",V,MANOVRA E CONDOTTA
571,16-27.png,"Figura 27 - Nella situazione rappresentata dalla figura a fianco, quale cima di poppa va assicurata per prima?",quella sulla bitta B.,F,quella sulla bitta A.,V,è indifferente.,F,MANOVRA E CONDOTTA
572,28-36.png,"Figura 28 - Nella situazione rappresentata dalla figura a fianco, quale cima di poppa va assicurata per prima?",quella sulla bitta B.,V,quella sulla bitta A.,F,è indifferente.,F,MANOVRA E CONDOTTA
573,28-36.png,"Figura 29 - Nella situazione rappresentata dalla figura a fianco, quale cima di poppa va liberata per prima volendo lasciare la banchina?",quella sulla bitta B.,V,quella sulla bitta A.,F,è indifferente.,F,MANOVRA E CONDOTTA
574,28-36.png,"Figura 30 - Nella situazione rappresentata dalla figura a fianco, quale cima di poppa va liberata per prima volendo lasciare la banchina?",quella sulla bitta B.,F,quella sulla bitta A.,V,è indifferente.,F,MANOVRA E CONDOTTA
575,,Il cavo di polipropilene è:,impiegato solo per sagole galleggianti utilizzate per il salvataggio.,V,adatto alle cime di ormeggio.,F,adatto per le manovre delle unità a vela.,F,MANOVRA E CONDOTTA
577,,Il cavo di poliestere è utilizzato:,per le cime di ormeggio.,V,solo per sagole galleggianti utilizzate per il salvataggio.,F,non è utilizzato.,F,MANOVRA E CONDOTTA
578,,La gassa d'amante è un nodo:,utilizzato per unire due cavi aventi diverso diametro.,F,che si usa per accorciare una cima di ormeggio.,F,"di grande tenuta, adatto per cavi di ormeggio.",V,MANOVRA E CONDOTTA
579,,Il nodo parlato:,è utile per fissare i parabordi a pulpiti e draglie.,V,si usa per accorciare una cima.,F,adatto per assicurare l'ancora.,F,MANOVRA E CONDOTTA
580,,Cos'è la trappa (o drappa)?,la cima che nei marina unisce la catenaria alla banchina e funge da ormeggio verso il largo.,V,la cima che nei marina unisce la catenaria alla banchina e funge da ormeggio verso poppa.,F,un sinonimo per indicare la grippia.,F,MANOVRA E CONDOTTA
581,,"Come avvalersi del ""bow truster"" intendendo ormeggiarsi in banchina sul proprio lato dritto?","in accosto a sinistra, in modo da favorire la traslazione dell'unità parallelamente alla banchina.",F,"in accosto a dritta, in modo da favorire la traslazione dell'unità parallelamente alla banchina.",V,non va mai azionato durante la manovra d'ormeggio.,F,MANOVRA E CONDOTTA
582,,Qual è lo strumento utilizzato per misurare la velocità delle unità?,solcometro.,V,anemometro.,F,ecoscandaglio.,F,MANOVRA E CONDOTTA
584,28-36.png,"Figura 31 - Dovendo accostare di poppa, con un’unità munita di una sola elica destrorsa, quale manovra conviene:",la manovra n. 1.,F,la manovra n. 2.,V,è indifferente.,F,MANOVRA E CONDOTTA
585,28-36.png,"Figura 31 - Dovendo accostare di poppa con un'unità munità di una sola elica sinistrorsa, quale manovra conviene rispetto a quelle proposte nelle figure:",la manovra n. 1.,V,la manovra n. 2.,F,è indifferente.,F,MANOVRA E CONDOTTA
586,28-36.png,"Figura 32 - Dovendo raggiungere la banchina con la poppa a bordo di una unità dotata di una sola elica sinistrorsa, è più conveniente assumere quale posizione di partenza:",la posizione 1.,F,la posizione 2.,F,la posizione 3.,V,MANOVRA E CONDOTTA
587,28-36.png,"Figura 32 - Dovendo raggiungere la banchina con la poppa a bordo di una unità dotata di una sola elica destrorsa, è più conveniente assumere quale posizione di partenza:",la posizione 1.,F,la posizione 2.,V,la posizione 3.,F,MANOVRA E CONDOTTA
588,,Per effettuare un corretto accosto di poppa alla banchina:,si retrocede perpendicolarmente alla banchina presentando il mascone e correggendo solo col timone.,F,"con elica sinistrorsa, si retrocede perpendicolarmente alla banchina presentando il giardinetto di dritta alla banchina.",V,"con elica destrorsa, si retrocede perpendicolarmente alla banchina correggendo con il timone a sinistra.",F,MANOVRA E CONDOTTA
589,,L'operazione di avvicinamento a una banchina o a un galleggiante è conosciuta sotto il nome di:,tonneggio.,F,attracco.,V,bordeggio.,F,MANOVRA E CONDOTTA
591,,Per accostarsi di fianco (all'inglese) a una banchina con un'unità dotata di un un'elica destrorsa:,se aziono il motore in marcia indietro avvicino la prua alla banchina.,F,l'unità si muove parallelamente alla banchina.,F,"con la banchina a sinistra, si dà marcia indietro con il mascone di sinistra alla banchina, avvicinando la poppa e arrestando l'abbrivio.",V,MANOVRA E CONDOTTA
592,,"Volendo ruotare sul posto da fermo, sfruttando contemporaneamente gli effetti evolutivi di elica e timone:","in marcia avanti, non agisce la corrente respinta sul timone.",F,"con elica sinistrorsa, in marcia avanti mettiamo il timone a dritta, accostando decisamente a dritta.",V,"con elica destrorsa, in marcia indietro mettiamo il timone a dritta.",F,MANOVRA E CONDOTTA
593,,"Per assicurare l'unità ad un gavitello, ci si lega:",alla cima sotto il gavitello.,V,all'anello sulla sommità del gavitello.,F,"come mi conviene indifferentemente, in quanto sono valide entrambe le soluzioni di cui alle risposte suddette.",F,MANOVRA E CONDOTTA
594,,Come si misura la lunghezza di un rimorchio?,dalla prora del rimorchiatore alla prora dell'ultima unità rimorchiata.,F,dalla poppa del rimorchiatore alla poppa dell'ultima unità rimorchiata.,V,dalla prora del rimorchiatore alla poppa dell'ultima unità rimorchiata.,F,MANOVRA E CONDOTTA
595,,"In avvicinamento in una rada, si deve:",tenere il motore con la marcia inserita al minimo dei giri,F,"procedere con cautela, se necessario inserendo e disinserendo la marcia per garantire una velocità contenuta",V,non ci sono limiti di velocità,F,MANOVRA E CONDOTTA
596,28-36.png,"Figura 33 - Nella situazione di vento illustrata, qual è la manovra di approccio alla banchina più corretto?",immagine 1,V,immagine 2,F,immagine 3,F,MANOVRA E CONDOTTA
598,,"Navigando all'interno di una rada, si deve tenere conto:",che l'onda formata dalla propria imbarcazione può creare una situazione di disturbo o pericolo per le altre unità all'ancora.,V,che è opportuno transitare sempre in prossimità della poppa delle unità all'ancora.,F,che le manovre effettuate in velocità rendono più evidenti le proprie intenzioni.,F,MANOVRA E CONDOTTA
599,,"Relativamente ad un motore fuoribordo, bisogna sapere che:","regolando con il ""TRIM"" il piede verso l’alto si determina un'elevazione della prora rispetto alla superficie del mare.",V,i cilindri sono raffreddati ad aria.,F,"regolando con il ""TRIM"" il piede verso l’alto si determina un abbassamento della prora rispetto alla superficie del mare.",F,MANOVRA E CONDOTTA
600,,Quando il TRIM è tutto basso si dice che l'assetto è:,tutto in positivo e serve ad alzare la prua con mare formato in poppa.,F,tutto in negativo e serve per dare maggiore spinta iniziale per raggiungere l'assetto di planata.,V,neutrale.,F,MANOVRA E CONDOTTA
601,,"Ci troviamo in una condizione di rotta di collisione; di norma, l'unità con diritto di precedenza deve:","accelerare con la propria unità in modo da scapolare quanto prima possibile
l'altra unità che ha dato la precedenza.",F,ridurre la velocità.,F,"mantenere rotta e velocità costante, accertandosi che l'altra unità dia la precedenza.",V,MANOVRA E CONDOTTA
602,,Come bisogna presentarsi nella manovra per la presa di gavitello?,sopravvento al gavitello.,F,con vento al traverso e gavitello di prora.,F,sottovento al gavitello.,V,MANOVRA E CONDOTTA
603,,L’ancora galleggiante:,serve a limitare l'intraversamento dell'unità.,V,non serve utilizzarla in caso di cattivo tempo.,F,serve a recuperare a bordo l'ancora incattivita.,F,MANOVRA E CONDOTTA
605,,L’ancora galleggiante:,è utilizzata in assenza di deriva e scarroccio.,F,non è adatta all'utilizzo in prossimità della costa sottovento.,V,non è adatta con profondità del mare troppo elevate.,F,MANOVRA E CONDOTTA
606,,L’utilizzo dell’ancora galleggiante è vantaggioso in caso di:,profondità troppo elevate e in assenza di deriva e scarroccio.,F,profondità troppo elevate e in presenza di scarroccio.,V,profondità troppo elevate e in presenza di deriva.,F,MANOVRA E CONDOTTA
607,,"Generalmente, la funzione del ""TRIM"" in un motore fuoribordo determina l'innalzamento della prua dell'unità per un angolo compreso tra la superficie del mare e il piano:",laterale dell'unità stessa.,F,trasversale dell'unita stessa.,F,orizzontale dell'unità stessa.,V,MANOVRA E CONDOTTA
608,,In generale il solcometro (comunemente detto anche log):,fornisce il dato di velocità e di cammino percorso in un dato tempo.,V,misura il solco lasciato dalla carena della nave nel suo moto in avanti.,F,è un contachilometri percorsi che li trasforma in miglia.,F,MANOVRA E CONDOTTA
609,,Lo scandaglio elettronico è denominato:,solcometro.,F,ecoscandaglio.,V,elettro-scandaglio.,F,MANOVRA E CONDOTTA
610,,Quando il dato della velocità fornito dal solcometro (comunemente detto anche log) non è attendibile:,in caso di presenza di vento.,F,in caso di presenza di corrente.,V,"non è vero, è sempre attendibile perché tiene conto di deriva e scarroccio.",F,MANOVRA E CONDOTTA
612,,Il solcometro (comunemente detto anche log) misura la velocità:,prodotta dalle eliche.,F,rispetto alla superficie dell'acqua.,V,"effettiva, cioè quella rispetto al fondo del mare.",F,MANOVRA E CONDOTTA
613,52-66.png,"Figura 54 - Due unità a propulsione meccanica che stanno navigando, come da figura a fianco, in situazione di rotte opposte con rischio di abbordaggio, in che modo si devono comportare?",ciascuna di esse accosta a dritta.,V,"l’unità di sinistra accosta a dritta, cedendo il passo all’altra nave.",F,accostano dallo stesso lato per compiere un giro intero e ritornare sulla propria rotta.,F,COLREG
614,,"Ai sensi della COLREG '72, cosa indica l'espressione ""visibilità ridotta ""?","ogni condizione in cui la visibilità è ridotta da nebbia, bruma, caduta di neve, violenti acquazzoni, tempeste di sabbia o qualsiasi altro evento simile.",V,ogni condizione in cui la visibilità risulta inferiore a 12 miglia nautiche.,F,ogni condizione in cui è necessario utilizzare i sistemi di ausilio alla navigazione (es. radar ed ecoscandaglio).,F,COLREG
615,,"Ogni manovra intrapresa allo scopo di evitare una collisione, se le circostanze del caso lo permettono, deve essere eseguita:",con decisione e ampio margine di tempo e con il dovuto rispetto all'osservanza delle buone regole dell'arte marinara.,V,solo quando le due unità seguono rotte opposte.,F,solo quando le due unità sono raggiungenti.,F,COLREG
616,,"Ogni cambiamento di rotta e/o di velocità atto ad evitare una collisione, se le circostanze del caso lo consentono, deve:",essere eseguito in più e successive brevi variazioni per non creare timore all'altra unità navale che la osserva visualmente o con il radar.,F,essere effettuato con successive variazioni non superiori a 5° di rotta o di 1 nodo di velocità.,F,essere abbastanza ampio da risultare evidente all'altra unità navale che la osserva visualmente o con il radar.,V,COLREG
617,,"Per quanto concerne la situazione di rotte incrociate, implicanti un pericolo di collisione, tra due unità a propulsione meccanica:","l'unità che vede l'altra sulla propria sinistra deve lasciarle libera la rotta e, quando le circostanze lo permettono, deve evitare di passarle di poppa.",F,"l'unità che vede l'altra sulla propria dritta deve lasciarle libera la rotta e, quando le circostanze lo permettono, deve evitare di passarle di prora.",V,l'unità che vede l'altra sulla propria dritta deve incrementare la propria velocità e garantire un adeguato servizio di vedetta.,F,COLREG
619,,In caso di visibilità limitata:,ogni unità deve procedere a una velocità di sicurezza relativa alle circostanze del momento e alle condizioni di visibilità.,V,ogni unità deve procedere ad una velocità di crociera non inferiore ai 10 nodi e con il servizio di vedetta attivato.,F,ogni unità deve procedere a una velocità di crociera non inferiore agli 8 nodi e con il servizio di vedetta attivato.,F,COLREG
620,,"Si è in presenza di rotta di collisione, in caso di rotte convergenti, quando:",il rilevamento aumenta.,F,il rilevamento diminuisce.,F,il rilevamento rimane costante e la distanza diminuisce.,V,COLREG
